Date,YuukiIndex
2025-02-19,12024.15
2025-02-20,11854.53
2025-02-21,11814.11
2025-02-25,11636.01
2025-02-26,11600.01
2025-02-27,11669.86
2025-02-28,11382.46
2025-03-03,11609.09
2025-03-04,11621.92
2025-03-05,11807.45
2025-03-06,11846.23
2025-03-07,11546.82
2025-03-10,11531.98
2025-03-11,11505.3
2025-03-12,11537.6
2025-03-13,11456.34
2025-03-14,11553.69
2025-03-17,11528.21
2025-03-18,11634.11
2025-03-19,11609.63
2025-03-21,11642.25
2025-03-24,11592.83
2025-03-25,11633.0
2025-03-26,11761.54
2025-03-27,11798.99
2025-03-28,11596.09
2025-03-31,11196.98
2025-04-01,11172.82
2025-04-02,11298.36
2025-04-03,10996.61
2025-04-04,10879.34
2025-04-07,10089.62
2025-04-08,10629.64
2025-04-09,10350.26
2025-04-10,11392.78
2025-04-11,11022.69
2025-04-14,11092.9
2025-04-15,11242.64
2025-04-16,11199.16
2025-04-17,11277.2
2025-04-18,11433.76
2025-04-21,11336.77
2025-04-22,11230.86
2025-04-23,11445.29
2025-04-24,11518.59
2025-04-25,11746.73
2025-04-28,11835.24
2025-04-30,11759.88
2025-05-01,11957.33
2025-05-02,12185.89
2025-05-07,12161.55
2025-05-08,12131.37
2025-05-09,12158.2
2025-05-12,12156.85
2025-05-13,12355.81
2025-05-14,12199.25
2025-05-15,12081.74
2025-05-16,12197.42
2025-05-19,12154.32
2025-05-20,12032.31
2025-05-21,11856.19
2025-05-22,11740.98
2025-05-23,11836.53
2025-05-26,11928.49
2025-05-27,11984.16
2025-05-28,11924.91
2025-05-29,12156.21
2025-05-30,11963.67
2025-06-02,11795.15
2025-06-03,11833.71
2025-06-04,11940.65
2025-06-05,11779.01
2025-06-06,11778.36
2025-06-09,11850.38
2025-06-10,11970.66
2025-06-11,11941.64
2025-06-12,11786.4
2025-06-13,11621.89
2025-06-16,11644.43
2025-06-17,11570.02
2025-06-18,11787.18
2025-06-19,11610.63
2025-06-20,11464.8
2025-06-23,11459.2
2025-06-24,11550.33
2025-06-25,11515.8
2025-06-26,11773.25
2025-06-27,11988.33
2025-06-30,12047.21
2025-07-01,11725.5
2025-07-02,11736.14
2025-07-03,11729.48
2025-07-04,11808.57
2025-07-07,11789.87
2025-07-08,11778.12
2025-07-09,11699.31
2025-07-10,11566.49
2025-07-11,11394.84
2025-07-14,11356.2
2025-07-15,11445.05
2025-07-16,11401.14
2025-07-17,11465.44
2025-07-18,11415.59
2025-07-22,11334.6
2025-07-23,11867.65
2025-07-24,12193.34
2025-07-25,11936.19
2025-07-28,11920.37
2025-07-29,11834.06
2025-07-30,11574.35
2025-07-31,11620.74
2025-08-01,11810.38
2025-08-04,11716.24
2025-08-05,11668.1
2025-08-06,11686.62
2025-08-07,11744.62
2025-08-08,11933.89
2025-08-12,12184.31
2025-08-13,12206.54
2025-08-14,11982.07
2025-08-15,12163.7
2025-08-18,12347.86
2025-08-19,12281.18
2025-08-20,12250.23
2025-08-21,12177.07
2025-08-22,12120.46
2025-08-25,12230.53
2025-08-26,12058.15
2025-08-27,11977.5
2025-08-28,12003.68
2025-08-29,11909.06
2025-09-01,11851.69
2025-09-02,11864.0
2025-09-03,11877.83
2025-09-04,11885.14
2025-09-05,11983.76
2025-09-08,12053.94
2025-09-09,11919.64
2025-09-10,11943.26
