Date,6701.T,6758.T,9983.T,7974.T,6702.T,6861.T,6367.T,9843.T,8113.T,6594.T
2025-03-19,3112.654541015625,3661.61669921875,45369.39453125,10434.876953125,3054.290283203125,60633.12109375,16711.501953125,2932.322021484375,1173.33154296875,2768.100830078125
2025-03-21,3108.685791015625,3761.063232421875,45090.93359375,10776.1123046875,3001.75,61001.3203125,16799.896484375,2869.005859375,1169.861572265625,2698.129150390625
2025-03-24,3124.5615234375,3743.16259765625,45031.26171875,10573.3486328125,3032.481201171875,60842.09765625,16603.46484375,2833.390625,1160.9388427734375,2691.677734375
2025-03-25,3117.615966796875,3745.151611328125,45289.83203125,10647.5302734375,2964.574951171875,60802.29296875,16898.11328125,2846.251708984375,1174.818603515625,2669.8427734375
2025-03-26,3153.336181640625,3830.67578125,45946.20703125,11206.365234375,2964.574951171875,61140.63671875,16878.46875,2844.27294921875,1171.3486328125,2684.730224609375
2025-03-27,3175.16552734375,3840.620361328125,46244.55859375,10909.6396484375,3075.1083984375,61528.73828125,16814.62890625,2856.144775390625,1206.0479736328125,2649.0
2025-03-28,3213.036376953125,3819.682373046875,45488.734375,10799.9951171875,3109.962158203125,59916.62890625,16646.236328125,2884.191162109375,1201.586669921875,2603.0
2025-03-31,3134.304931640625,3753.877197265625,43817.96484375,10077.3369140625,2938.68017578125,58195.05859375,15987.5185546875,2949.831298828125,1179.2799072265625,2492.0
2025-04-01,3170.1826171875,3753.877197265625,44195.875,10172.0302734375,2953.61767578125,57597.984375,15848.8408203125,2853.360107421875,1188.6983642578125,2481.0
2025-04-02,3141.28125,3679.098876953125,45846.7578125,10386.3359375,2944.1572265625,57538.27734375,15858.74609375,2831.47998046875,1161.4345703125,2449.0
2025-04-03,3086.46826171875,3501.624755859375,45051.15234375,10047.43359375,2857.022705078125,55309.19140625,15670.541015625,2929.9404296875,1179.775634765625,2309.5
2025-04-04,2970.364501953125,3335.1181640625,44653.34765625,9944.7666015625,2797.77099609375,54423.52734375,15848.8408203125,3085.090087890625,1191.1768798828125,2181.0
2025-04-07,2660.92041015625,3000.110595703125,41421.203125,9164.296875,2614.5390625,50343.50390625,15016.7763671875,2959.77685546875,1150.529052734375,1907.0
